id,title,description,availability,condition,price,property_type,listing_type,city,neighborhood,state,bedrooms,bathrooms,parking_spaces,area,link,image_link
38024,"Apartamento à venda com 3 quartos no CAMPOS ELÍSEOS, RIBEIRÃO PRETO - Galeria Imobiliária","Apartamento com 3 quartos, 2 banheiros, 2 garagens, 1 salas, 1 cozinhas no CAMPOS ELÍSEOS, RIBEIRÃO PRETO por R$ 550.000,00 para comprar",for sale,,550000 BRL,apartment,for_sale,RIBEIRÃO PRETO,CAMPOS ELÍSEOS,São Paulo,3,2,2,95,https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/apartamentos/ribeirao-preto/campos-eliseos/38024,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/38024/fefa5f670f16ada7e9f00421a75af892AT.jpg
32320,"Salão Comercial para alugar, 160m² - no Jardim Nova Aliança - Galeria Imobiliária","Salão comercial para Locação no Jardim Nova Aliança em Ribeirão Preto. Próximo às Avenidas Ângelo Gennaro Gallo, Braz Olaia Acosta, Luiz Eduardo Toledo Prado, ao Shopping Iguatemi, Ibis, Liceu Albert Sabin, SPOT Complexo Esportivo, Hospital Unimed e diversos comércios. Imóvel amplo e bem arejado, localizado em um bairro de fácil acesso. Ideal para quem deseja ampliar seu negocio em uma região valorizada, com segurança e praticidade. Amplo salão com sacada Copa 2 Banheiros Dimensão: 160.58 m² de área útil Agende a sua visita! Atendemos aos sábados. Galeria Imobiliária - A arte de bem morar!",for rent,,11000 BRL,commercial,for_rent,RIBEIRÃO PRETO,Nova Aliança Sul,São Paulo,,2,,160,https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/nova-alianca-sul/32320,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32320/1694551790471AT.jpg
32389,"Apartamento com 3 quartos para alugar, 152m² - Nova Aliança - Galeria Imobiliária","Apartamento com 3 quartos e 3 vagas de garagem para locação no Nova Aliança em Ribeirão Preto. Próximo às avenidas Braz Olaia Acosta, Dr. José Cesário Monteiro da Silva, Presidente Vargas, à Faculdade UNIP, Novo Mercadão, Academia Bluefit, Parque das Artes, Fatesa, Verace Pizza, Ribeirão Shopping, com fácil acesso ao Shopping Iguatemi e diversos comércios. Imóvel com cômodos amplos, versátil e bem arejado, em andar alto proporcionando uma linda vista. Localizado em um bairro na zona sul da cidade, proporcionando segurança, praticidade e qualidade de vida. 3 Quartos, sendo 3 suítes com armários e ar-condicionado Sala ampla dois ambientes com painel e ar-condicionado Varanda gourmet envidraçada Lavabo Cozinha independente planejada Área de serviço Banheiro de serviço Entrada de serviço 3 Vagas de garagem Dimensão: 125,31 m² - área útil Condomínio: Portaria 24 horas, piscina adulto e infantil, quadra, academia, playground, salão de jogos, salão de festas e playground. Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for rent,,5600 BRL,apartment,for_rent,RIBEIRÃO PRETO,Nova Aliança,São Paulo,3,3,3,152,https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/nova-alianca/32389,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32389/191b17230ddd300a01d55cfb9f0b010cAT.jpg
40963,"Casa de Condomínio com 4 quartos à venda, 410 m² - Jardim Botânico - Galeria Imobiliária","Casa de condomínio com 4 quartos e 4 vagas de garagem à venda no Jardim Botânico em Ribeirão Preto. Próximo às Avenidas, Carlos Eduardo de Gasperi Consoni, Giuseppe Cilento, Wladimir Meirelles Ferreira, Portugal, Norma Valério Corrêa, ao Parque Municipal Dr. Luis Carlos Raya, EMEF Domingos Adilson Canesin, Wyndham Garden Ribeirão Preto Convention, Le Monde Parc Residencial, Four FITNESS, Parque Uber Sul e diversos comércios. Imovél deslumbrante com essa incrível casa de 4 suítes, piscina aquecida, cozinha gourmet, energia fotovoltaica e muito mais. Todo conforto e tranquilidade se você busca por qualidade de vida. 4 suítes sendo uma master com closet Sr e Sra Sala Cozinha americana Lavabo Área de serviço Quintal Piscina 4 vagas de garagem Dimensões: 410 m² de área construída 520 m² de área terreno Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for sale,,3600000 BRL,house,for_sale,RIBEIRÃO PRETO,JARDIM SÃO LUIZ,São Paulo,4,4,4,410,https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/jardim-sao-luiz/40963,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/40963/e4a46a6ac91b0eb39677e388073f5a6aAT.jpg
32582,"Sala Comercial para alugar, 21m² - Centro - Galeria Imobiliária",Sala comercial para Locação no Centro de Ribeirão Preto. Excelente localização próximo ao Shopping Santa Úrsula e Rua Barão do Amazonas. Sala ampla Banheiro Condomínio com portaria 24 hrs e elevador Dimensão: 21m² Agende a sua visita! Atendemos aos sábados. Galeria Imobiliária - A arte de bem morar!,for rent,,900 BRL,commercial,for_rent,RIBEIRÃO PRETO,Centro,São Paulo,,,,21,https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/centro/32582,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32582/1694552520583AT.jpg
41036,"Salão comercial para alugar, 198m² - Parque das Andorinhas - Galeria Imobiliária","Salão comercial para locação no Parque das Andorinhas em Ribeirão Preto. Próximo ás Avenidas Ivo Pareschi, Ettore e Aurora Coraucci, Luís Galvão César, Ettore e Aurora Coraucci ao Magic Gardens, Savegnago Supermercado, Planalto Fitness, Sugee Sushi e diversos comércios. Imovel bem localizado em uma Avenida de grande fluxo, excelente infraestrutura para pet shop ja com todos preparações, imovel de esquina ideal para quem deseja visibilidade! Amplo salão 7 canil 2 banheiros sendo um adaptado 2 salas Cozinha Espaço de banho com 2 lavatórios Bancada 3 vagas frontais de estacionamento Dimensões: 354.00 m² de Área Terreno 198.12 m² de Área Útil Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for sale,,1100000 BRL,commercial,for_sale,RIBEIRÃO PRETO,PARQUE DAS ANDORINHAS,São Paulo,,2,3,198,https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/comercial/ribeirao-preto/parque-das-andorinhas/41036,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/41036/92f7a39e4857861f587312d1e880d9ceAT.jpg
39017,"Casa Residencial para alugar, 134m² - Campos Elíseos - Galeria Imobiliária","Casa Residencial para locação no Campos Elíseos em Ribeirão Preto, em excelente localização próximo á Avenida Marechal Costa e Silva e ampla rede de comércios. Excelente oportunidade de alugar, casa ampla, bem areja, com boa iluminação natural. Imóvel ideal para quem procura conforto e praticidade para você e sua família. 3 Dormitórios Sala Cozinha 1 cômodo anexo a cozinha com porta de correr Banheiro social com box Lavanderia Ventilador de teto 2 vagas de garagem Quintal Pequeno jardim Churrasqueira Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for sale,,290000 BRL,house,for_sale,RIBEIRÃO PRETO,CAMPOS ELÍSEOS,São Paulo,3,,2,134,https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/campos-eliseos/39017,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39017/52bdf4e6a2a8b110e558986bdd42947dAT.jpg
41034,"Casa com 3 quartos para alugar, 138m²- Presidente Médici - Galeria Imobiliária","Casa com 3 quartos e 2 vagas de garagem para locação no bairro Presidente Médici em Ribeirão Preto. Próximo às Avenidas, Presidente Castelo Branco, Maria de Jesus Condeixa e Leão XIII, ao Superatacado Tonin, Farmácia Drogal, Assaí Atacadista, Mercado e Panificadora Vila Santana, Academia Pulsar, Praça Mario Spanó e diversos comércios. Casa aconchegante, ideal para quem busca conforto e praticidade. Localizada em uma região tranquila, mas com fácil acesso a comércios, escolas e serviços essenciais, a casa oferece um ambiente familiar e acolhedor. Com espaços amplos, iluminados e bem ventilados, é perfeita para quem deseja viver com conforto no dia a dia. Parte interna: 2 quartos com ventiladores de teto, 1 com armário Sala Banheiro social Copa com ventilador de teto Cozinha americana ampla com ventilador de teto Despensa com prateleiras de pedra Parte externa: Área de serviço grande com tanque Corredor lateral Quarto com banheiro 2 vagas de garagem Diferenciais: Portão eletrônico, interfone e churrasqueira. Dimensões: 138,48m² de área util 168,75m² de área total Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for sale,,370000 BRL,house,for_sale,RIBEIRÃO PRETO,PRESIDENTE MÉDICI,São Paulo,3,,2,138,https://galeriaimobiliaria.com.br/imovel/venda-e-locacao/casas/ribeirao-preto/presidente-medici/41034,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/41034/557c011c760995763a3cd02d89ba1fb6AT.jpg
32647,"Apartamento com 4 quartos para alugar, 336m² - Jardim Irajá - Galeria Imobiliária","Apartamento com 4 quartos e 3 vagas de garagem para locação no Jardim Irajá em Ribeirão Preto. Próximo às avenidas Senador César Vergueiro, Professor João Fiúsa, Presidente Vargas e Leais Paulista, ao Assaí Atacadista, Empório Santa Ângela, Mundo Árabe – Ribeirão Preto, Mini Garden Gaia e diversos comércios. imóvel amplo com cômodos bem distribuídos, super aconchegante com design elegante e refinado, em andar alto com vista livre, rico em planejados e ar-condicionado. Localizado em um bairro na zona sul da cidade, fornecendo segurança, praticidade e qualidade de vida. 4 Quartos, sendo suítes, com armários planejados, ar-condicionado e Janelas blackout, 1 suíte com 2 closet e banheira Roupeiro no corredor Ampla sala com armário, espelhos e ar-condicionado Sala de jantar Sala de TV com armário, ar-condicionado, sacada Lavabo Ampla sacada com ar-condicionado e área de churrasco com gabinete Ampla cozinha independente com armários planejados, gabinete, fogão, coifa e ar-condicionado Despensa Área de serviço com armários planejados, gabinete e balcão, Banheiro de serviço com box blindex 1 Quarto de serviço com armários 1 Quarto com armários planejados 5 vagas de garagem Dimensão: 336.86 m² de área útil condomínio: Portaria 24 horas, elevador social, piscina, quadra pole esportivos, academia, área gourmet, recepção e sauna. Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for rent,,9000 BRL,apartment,for_rent,RIBEIRÃO PRETO,JARDIM IRAJÁ,São Paulo,4,1,5,336,https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/jardim-iraja/32647,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/32647/1d1ce412b0669a29e215a12949882d63AT.jpg
41259,"Sala comercial para alugar, 22m² - Jardim Paulistano - Galeria Imobiliária","Sala comercial para locação no Jardim Paulistano em Ribeirão Preto. Próximo ás avenidas Treze de Maio, Meira Júnior, Emelinda Corrado, Presidente Castelo Branco, ao Droga Raia, Posto Ipiranga, Pizzaria Três Irmãos, Churrascaria Zebu e diversos comércios. Sala comercial bem estruturada, ideal para profissionais autônomos, consultórios, pequenos escritórios ou atendimento personalizado. O ambiente oferece praticidade e conforto para o dia a dia profissional, localizado em uma avenida de grande fluxo trazendo visibilidade ao seu negocio. Sala ampla com Pia Banheiro Ar- Condicionado Cortina Dimensão: 22m² de Área útil 146.76m² de Área Construída Agende a sua visita! Atendemos aos Sábados Galeria Imobiliária - A arte de bem morar!",for rent,,970 BRL,commercial,for_rent,RIBEIRÃO PRETO,JARDIM PAULISTANO,São Paulo,,,,22,https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-paulistano/41259,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/41259/7f70036a11c7f1882d5b7c525fc347c7AT.jpg
